precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,23,Godsday,Springmoon,24,80,60,90,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,24,Moonday,Springmoon,25,85,65,78,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),10,25,Twiceday,Springmoon,26,80,65,81,10,Prevailing Direction,90,75,Normal,5,-,-,-,150,100,25,15
No Precipitation,25,26,Thriceday,Springmoon,27,80,60,90,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),35,27,Fourday,Springmoon,28,70,55,81,35,From Arctic,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Rain (<3/4 inch),0,28,Freeday,Springmoon,29,70,55,84,0,Indescernable,80,65,Normal,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),0,29,Godsday,Springmoon,30,75,55,74,0,Indescernable,85,65,Normal,0,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),0,30,Moonday,Eostara,1,80,65,85,0,Indescernable,90,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,31,Twiceday,Eostara,2,85,65,84,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,32,Thriceday,Eostara,3,80,60,80,15,From Arctic,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,33,Fourday,Eostara,4,85,65,89,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,34,Freeday,Eostara,5,80,60,90,10,From Arctic,90,70,Normal,5,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),20,35,Godsday,Eostara,6,75,55,77,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
Heavy Rain (<1.5 inch),10,36,Moonday,Eostara,7,80,65,81,10,From Tropics,90,75,Normal,5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),20,37,Twiceday,Eostara,8,80,60,86,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,5,38,Thriceday,Eostara,9,85,65,88,5,From Tropics,100,75,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,20,39,Fourday,Eostara,10,80,65,85,20,Prevailing Direction,85,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,40,Freeday,Eostara,11,85,65,74,10,Prevailing Direction,100,75,Normal,5,-,-,-,50,30,15,10
No Precipitation,0,41,Godsday,Eostara,12,85,70,81,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,42,Moonday,Eostara,13,90,70,81,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,43,Twiceday,Eostara,14,85,70,71,10,Prevailing Direction,100,80,Normal,5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),20,44,Thriceday,Eostara,15,80,65,89,20,From Arctic,85,70,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
Moderate Rain (<3/4 inch),30,45,Fourday,Eostara,16,75,55,76,30,From Arctic,80,60,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,15,46,Freeday,Eostara,17,80,65,85,15,From Tropics,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,47,Godsday,Eostara,18,85,65,84,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,48,Moonday,Eostara,19,90,70,71,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,49,Twiceday,Eostara,20,90,70,85,0,Indescernable,105,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,50,Thriceday,Eostara,21,85,70,81,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,51,Fourday,Eostara,22,85,70,87,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,52,Freeday,Eostara,23,90,70,82,0,Indescernable,105,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,53,Godsday,Eostara,24,85,70,84,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,54,Moonday,Eostara,25,85,65,73,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,55,Twiceday,Eostara,26,80,65,87,25,Prevailing Direction,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),35,56,Thriceday,Eostara,27,75,55,85,35,From Arctic,80,60,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),25,57,Fourday,Eostara,28,80,65,74,25,From Tropics,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,40,58,Freeday,Eostara,29,80,60,81,40,Prevailing Direction,85,60,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,59,Godsday,Eostara,30,80,60,80,40,Prevailing Direction,85,60,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),55,60,Moonday,Pasturemoon,1,70,55,72,55,Prevailing,70,55,Gale,27.5,-4/-6/X/X,-4,0.5,150,100,25,15
No Precipitation,45,61,Twiceday,Pasturemoon,2,70,55,85,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),0,62,Thriceday,Pasturemoon,3,80,65,90,0,Indescernable,90,75,Morning Mist/Fog: 1 hours,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),10,63,Fourday,Pasturemoon,4,75,55,82,10,From Arctic,85,65,Normal,5,-,-,-,150,100,25,15
Trace Rain (<1/8 inch),0,64,Freeday,Pasturemoon,5,80,60,71,0,Indescernable,90,70,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,65,Godsday,Pasturemoon,6,85,65,72,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,66,Moonday,Pasturemoon,7,90,70,74,0,Indescernable,105,80,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,67,Twiceday,Pasturemoon,8,85,65,84,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),5,68,Thriceday,Pasturemoon,9,85,70,77,5,Prevailing Direction,100,80,Normal,2.5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),15,69,Fourday,Pasturemoon,10,85,65,75,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),25,70,Freeday,Pasturemoon,11,80,65,71,25,Prevailing Direction,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Rain (<1/2 inch),15,71,Godsday,Pasturemoon,12,85,65,81,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,15,72,Moonday,Pasturemoon,13,85,65,78,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),5,73,Twiceday,Pasturemoon,14,90,70,73,5,From Tropics,105,80,Normal,2.5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),15,74,Thriceday,Pasturemoon,15,85,65,77,15,From Arctic,100,75,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Moderate Rain (<3/4 inch),25,75,Fourday,Pasturemoon,16,80,65,81,25,Prevailing Direction,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Trace Rain (<1/8 inch),15,76,Freeday,Pasturemoon,17,85,65,80,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
Moderate Rain (<3/4 inch),25,77,Godsday,Pasturemoon,18,80,60,82,25,From Arctic,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Light Rain (<1/2 inch),35,78,Moonday,Pasturemoon,19,75,55,75,35,Prevailing Direction,80,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,79,Twiceday,Pasturemoon,20,80,60,89,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,80,Thriceday,Pasturemoon,21,80,65,82,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,81,Fourday,Pasturemoon,22,85,70,82,0,Indescernable,100,80,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,82,Freeday,Pasturemoon,23,90,70,84,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,83,Godsday,Pasturemoon,24,90,70,77,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,84,Moonday,Pasturemoon,25,85,70,72,10,Prevailing Direction,100,80,Normal,5,-,-,-,150,100,25,15
No Precipitation,0,85,Twiceday,Pasturemoon,26,90,70,71,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,86,Thriceday,Pasturemoon,27,90,70,86,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,87,Fourday,Pasturemoon,28,85,70,80,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,88,Freeday,Pasturemoon,29,80,65,71,10,From Arctic,90,75,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,89,Godsday,Pasturemoon,30,80,65,90,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,90,Moonday,Fallowmoon,1,75,55,59,25,From Arctic,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,91,Twiceday,Fallowmoon,2,75,55,46,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),35,92,Thriceday,Fallowmoon,3,70,50,70,35,From Arctic,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),45,93,Fourday,Fallowmoon,4,70,50,55,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,94,Freeday,Fallowmoon,5,70,50,58,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),35,95,Godsday,Fallowmoon,6,70,55,57,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),45,96,Moonday,Fallowmoon,7,70,50,47,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,30,97,Twiceday,Fallowmoon,8,75,55,53,30,Prevailing Direction,80,55,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Heavy Rain (<1.5 inch),40,98,Thriceday,Fallowmoon,9,70,55,45,40,Prevailing Direction,70,55,Normal,20,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),0,99,Fourday,Fallowmoon,10,70,50,69,0,Indescernable,75,50,Normal,0,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),10,100,Freeday,Fallowmoon,11,70,50,64,10,Prevailing Direction,75,50,Normal,5,-,-,-,50,30,15,10
No Precipitation,10,101,Godsday,Fallowmoon,12,70,55,48,10,Prevailing Direction,75,60,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),20,102,Moonday,Fallowmoon,13,70,50,59,20,From Arctic,70,50,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Moderate Rain (<3/4 inch),10,103,Twiceday,Fallowmoon,14,70,55,62,10,Prevailing Direction,75,60,Normal,5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,104,Thriceday,Fallowmoon,15,75,55,44,0,Indescernable,80,60,Normal,0,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),10,105,Fourday,Fallowmoon,16,70,50,53,10,From Arctic,75,50,Normal,5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),20,106,Freeday,Fallowmoon,17,70,50,52,20,Prevailing Direction,70,50,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
Heavy Rain (<1.5 inch),10,107,Godsday,Fallowmoon,18,75,55,44,10,From Tropics,80,60,Normal,5,-,-,-,50,30,15,10
No Precipitation,0,108,Moonday,Fallowmoon,19,80,60,60,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,109,Twiceday,Fallowmoon,20,75,55,50,15,Prevailing Direction,80,60,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,110,Thriceday,Fallowmoon,21,80,65,49,0,Indescernable,85,70,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,111,Fourday,Fallowmoon,22,85,70,64,0,Indescernable,95,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,112,Freeday,Fallowmoon,23,85,65,49,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,113,Godsday,Fallowmoon,24,85,70,68,0,Indescernable,95,75,Normal,0,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),10,114,Moonday,Fallowmoon,25,85,65,57,10,Prevailing Direction,95,70,Normal,5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),20,115,Twiceday,Fallowmoon,26,80,65,48,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
No Precipitation,20,116,Thriceday,Fallowmoon,27,80,65,50,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,117,Fourday,Fallowmoon,28,80,60,52,35,Prevailing Direction,85,60,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,118,Freeday,Fallowmoon,29,70,55,50,45,From Arctic,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),35,119,Godsday,Fallowmoon,30,80,60,48,35,From Tropics,85,60,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Light Rain (<1/2 inch),45,120,Moonday,Midsummer,1,70,55,71,45,From Arctic,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,121,Twiceday,Midsummer,2,70,55,73,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,122,Thriceday,Midsummer,3,70,50,84,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),45,123,Fourday,Midsummer,4,70,50,84,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,124,Freeday,Midsummer,5,70,50,73,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),35,125,Godsday,Midsummer,6,70,55,77,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Light Rain (<1/2 inch),45,126,Moonday,Midsummer,7,70,50,89,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Rain (<1/8 inch),35,127,Twiceday,Midsummer,8,70,55,88,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Rain (<1/8 inch),25,128,Thriceday,Midsummer,9,75,55,76,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,10,129,Fourday,Midsummer,10,80,60,81,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),20,130,Freeday,Midsummer,11,70,55,82,20,From Arctic,75,60,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,20,131,Godsday,Midsummer,12,70,55,72,20,Prevailing Direction,75,60,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,132,Moonday,Midsummer,13,75,55,76,5,Prevailing Direction,85,65,Normal,2.5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,133,Twiceday,Midsummer,14,80,60,76,0,Indescernable,90,70,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),10,134,Thriceday,Midsummer,15,70,55,80,10,From Arctic,80,65,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,135,Fourday,Midsummer,16,80,60,89,0,Indescernable,90,70,Normal,0,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,136,Freeday,Midsummer,17,85,65,71,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
Trace Rain (<1/8 inch),10,137,Godsday,Midsummer,18,80,65,84,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,138,Moonday,Midsummer,19,85,65,72,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,139,Twiceday,Midsummer,20,80,65,86,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,140,Thriceday,Midsummer,21,90,70,72,0,Indescernable,105,80,Heatwave,0,-,-,-,150,100,25,15
No Precipitation,0,141,Fourday,Midsummer,22,90,70,72,0,Indescernable,105,80,Heatwave,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,142,Freeday,Midsummer,23,90,70,81,10,From Arctic,105,80,Heatwave,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),20,143,Godsday,Midsummer,24,90,70,90,20,Prevailing Direction,100,75,Heatwave,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,144,Moonday,Midsummer,25,90,70,81,10,From Tropics,105,80,Heatwave,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,145,Twiceday,Midsummer,26,85,70,87,0,Indescernable,100,80,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,146,Thriceday,Midsummer,27,80,60,74,15,From Arctic,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,147,Fourday,Midsummer,28,80,60,76,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),25,148,Freeday,Midsummer,29,75,55,84,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,40,149,Godsday,Midsummer,30,70,55,82,40,Prevailing Direction,70,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,150,Moonday,Haymoon,1,70,50,76,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),0,151,Twiceday,Haymoon,2,80,60,74,0,Indescernable,90,70,Morning Mist/Fog: 3 hours,0,-,-,-,50,30,15,10
No Precipitation,15,152,Thriceday,Haymoon,3,75,55,78,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,153,Fourday,Haymoon,4,70,55,78,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),35,154,Freeday,Haymoon,5,70,50,72,35,From Arctic,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Moderate Rain (<3/4 inch),25,155,Godsday,Haymoon,6,75,55,74,25,From Tropics,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Heavy Rain (<1.5 inch),15,156,Moonday,Haymoon,7,80,65,78,15,From Tropics,90,75,Normal,7.5,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,0,157,Twiceday,Haymoon,8,85,65,76,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,158,Thriceday,Haymoon,9,85,70,71,0,Indescernable,100,80,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,159,Fourday,Haymoon,10,85,70,75,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,160,Freeday,Haymoon,11,85,70,85,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,161,Godsday,Haymoon,12,85,65,88,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,162,Moonday,Haymoon,13,85,70,79,0,Indescernable,100,80,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,163,Twiceday,Haymoon,14,85,70,78,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,164,Thriceday,Haymoon,15,85,70,78,0,Indescernable,100,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,165,Fourday,Haymoon,16,85,65,86,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,166,Freeday,Haymoon,17,80,65,81,10,Prevailing Direction,90,75,Normal,5,-,-,-,150,100,25,15
No Precipitation,25,167,Godsday,Haymoon,18,80,60,80,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Heavy Rain (<1.5 inch),15,168,Moonday,Haymoon,19,80,65,86,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,50,30,15,10
Heavy Rain (<1.5 inch),25,169,Twiceday,Haymoon,20,80,60,80,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),15,170,Thriceday,Haymoon,21,85,65,89,15,From Tropics,100,75,Normal,7.5,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,30,171,Fourday,Haymoon,22,80,65,80,30,Prevailing Direction,85,70,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),40,172,Freeday,Haymoon,23,80,60,87,40,Prevailing Direction,85,60,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),45,173,Godsday,Haymoon,24,75,55,76,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,174,Moonday,Haymoon,25,75,55,77,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),35,175,Twiceday,Haymoon,26,80,60,75,35,Prevailing Direction,85,65,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),25,176,Thriceday,Haymoon,27,85,65,78,25,From Tropics,95,70,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,25,177,Fourday,Haymoon,28,85,65,85,25,Prevailing Direction,95,70,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,178,Freeday,Haymoon,29,80,60,87,40,From Arctic,85,60,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,179,Godsday,Haymoon,30,80,65,73,25,Prevailing Direction,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),0,180,Moonday,Harvest,1,85,65,74,0,Indescernable,100,75,Morning Mist/Fog: 4 hours,0,-,-,-,150,100,25,15
No Precipitation,0,181,Twiceday,Harvest,2,80,65,88,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
